14-May-04,BTEK,129,Bumi Teknokultura Unggul Tbk,Consumer Goods industry
3-Feb-06,BTEL,130,Bakrie Telecom Tbk,"Infrastructure, Utilities, and Transportation"
18-Jul-01,BTON,131,Betonjaya Manunggal Tbk,Basic Industry and Chemicals
12-Mar-08,BTPN,132,PT Bank BTPN Tbk,Finance
8-May-18,BTPS,133,PT Bank Tabungan Pensiunan Nasional Syariah Tbk.,Finance
8-May-95,BUDI,134,PT Budi Starch & Sweetener Tbk.,Consumer Goods industry
29-Jun-15,BUKK,135,Bukaka Teknik Utama Tbk,"Infrastructure, Utilities, and Transportation"
23-May-11,BULL,136,PT Buana Lintas Lautan Tbk.,"Infrastructure, Utilities, and Transportation"
30-Jul-90,BUMI,137,Bumi Resources Tbk,Mining
12-Jul-10,BUVA,138,PT Bukit Uluwatu Villa Tbk,"Trade, Service, and Investment"
30-Jun-99,BVIC,139,Bank Victoria International Tbk,Finance
27-Oct-09,BWPT,140,Eagle High Plantations Tbk,Agriculture
12-Aug-08,BYAN,141,Bayan Resources Tbk,Mining
31-Oct-18,CAKK,142,PT Cahayaputra Asa Keramik Tbk.,Basic Industry and Chemicals
19-Dec-17,CAMP,143,PT Campina Ice Cream Industry Tbk.,Consumer Goods industry
16-Jan-14,CANI,144,PT Capitol Nusantara Indonesia Tbk.,"Infrastructure, Utilities, and Transportation"
10-Apr-17,CARS,145,PT Industri dan Perdagangan Bintraco Dharma Tbk,"Trade, Service, and Investment"
19-Jul-16,CASA,146,PT Capital Financial Indonesia Tbk,Finance
5-Dec-11,CASS,147,Cardig Aero Services Tbk,"Infrastructure, Utilities, and Transportation"
18-Jun-19,CCSI,148,PT Communication Cable Systems Indonesia Tbk.,Miscellaneous Industry
9-Jul-96,CEKA,149,PT Wilmar Cahaya Indonesia Tbk.,Consumer Goods industry
1-Nov-01,CENT,150,PT Centratama Telekomunikasi Indonesia Tbk.,"Infrastructure, Utilities, and Transportation"
2-Oct-90,CFIN,151,Clipan Finance Indonesia Tbk,Finance
27-Jun-14,CINT,152,PT Chitose Internasional Tbk,Consumer Goods industry
20-Mar-02,CITA,153,Cita Mineral Investindo Tbk,Mining
28-Sep-18,CITY,154,PT Natura City Developments Tbk.,"Property, Real Estate, and Building Construction"
19-May-99,CKRA,155,Cakra Mineral Tbk.,Mining
18-Jan-19,CLAY,156,PT Citra Putra Realty Tbk,"Trade, Service, and Investment"
5-May-17,CLEO,157,PT Sariguna Primatirta Tbk,Consumer Goods industry
30-Nov-01,CLPI,158,Colorpak Indonesia Tbk,"Trade, Service, and Investment"
10-Jan-95,CMNP,159,Citra Marga Nusaphala Persada Tbk,"Infrastructure, Utilities, and Transportation"
8-Dec-94,CMPP,160,PT AirAsia Indonesia Tbk,"Infrastructure, Utilities, and Transportation"
20-Nov-01,CNKO,161,Exploitasi Energi Indonesia Tbk,"Trade, Service, and Investment"
22-May-79,CNTX,162,Centex Tbk,Miscellaneous Industry
20-Mar-19,COCO,163,PT Wahana Interfood Nusantara Tbk.,Consumer Goods industry
19-Dec-07,COWL,164,COWELL DEVELOPMENT Tbk,"Property, Real Estate, and Building Construction"
18-Mar-91,CPIN,165,Charoen Pokphand Indonesia Tbk,Basic Industry and Chemicals
11-Apr-19,CPRI,166,PT Capri Nusa Satu Properti Tbk.,"Property, Real Estate, and Building Construction"
28-Nov-06,CPRO,167,Central Proteina Prima Tbk,Basic Industry and Chemicals
12-Dec-07,CSAP,168,Catur Sentosa Adiprana Tbk,"Trade, Service, and Investment"
10-May-17,CSIS,169,PT Cahayasakti Investindo Sukses Tbk,"Property, Real Estate, and Building Construction"
28-Nov-89,CTBN,170,Citra Tubindo Tbk,Basic Industry and Chemicals
28-Mar-94,CTRA,171,Ciputra Development Tbk,"Property, Real Estate, and Building Construction"
3-Jul-96,CTTH,172,Citatah Tbk,Mining
8-May-90,DART,173,Duta Anggada Realty Tbk,"Property, Real Estate, and Building Construction"
28-Jun-16,DAYA,174,PT Duta Intidaya Tbk.,"Trade, Service, and Investment"
9-Nov-18,DEAL,175,PT Dewata Freightinternational Tbk.,"Infrastructure, Utilities, and Transportation"
6-Jul-01,DEFI,176,Danasupra Erapacific Tbk,Finance
26-Sep-07,DEWA,177,Darma Henwa Tbk,Mining
27-Apr-18,DFAM,178,PT Dafam Property Indonesia Tbk,"Trade, Service, and Investment"
19-Dec-07,DGIK,179,Nusa Konstruksi Enjiniring Tbk,"Property, Real Estate, and Building Construction"
18-Sep-18,DIGI,180,PT Arkadia Digital Media Tbk,"Trade, Service, and Investment"
4-Sep-91,DILD,181,Intiland Development Tbk,"Property, Real Estate, and Building Construction"
27-Nov-18,DIVA,182,PT Distribusi Voucher Nusantara Tbk,"Trade, Service, and Investment"
21-Nov-97,DKFT,183,Central Omega Resources Tbk,Mining
12-Feb-84,DLTA,184,Delta Djakarta Tbk,Consumer Goods industry
29-May-15,DMAS,185,PT Puradelta Lestari Tbk.,"Property, Real Estate, and Building Construction"
21-Oct-19,DMMX,186,PT Digital Mediatama Maxima Tbk,"Trade, Service, and Investment"
11-Jul-14,DNAR,187,PT Bank Oke Indonesia Tbk.,Finance
11-Dec-00,DNET,188,PT Indoritel Makmur Internasional Tbk.,"Trade, Service, and Investment"
15-Jun-01,DOID,189,Delta Dunia Makmur Tbk,Mining
8-Aug-90,DPNS,190,Duta Pertiwi Nusantara Tbk,Basic Industry and Chemicals
8-Dec-15,DPUM,191,PT Dua Putra Utama Makmur Tbk.,"Trade, Service, and Investment"
24-Mar-00,DSFI,192,Dharma Samudera Fishing Ind. Tbk,Agriculture
14-Jun-13,DSNG,193,PT Dharma Satya Nusantara Tbk.,Agriculture
10-Dec-09,DSSA,194,Dian Swastatika Sentosa Tbk,Mining
10-Oct-18,DUCK,195,PT Jaya Bersama Indo Tbk.,"Trade, Service, and Investment"
2-Nov-94,DUTI,196,Duta Pertiwi Tbk,"Property, Real Estate, and Building Construction"
11-Nov-94,DVLA,197,Darya-Varia Laboratoria Tbk,Consumer Goods industry
13-Dec-17,DWGL,198,PT Dwi Guna Laksana Tbk,"Trade, Service, and Investment"
25-Mar-13,DYAN,199,PT Dyandra Media International Tbk.,"Trade, Service, and Investment"
9-Jul-19,EAST,200,PT Eastparc Hotel Tbk,"Trade, Service, and Investment"
3-Jul-13,ECII,201,PT Electronic City Indonesia Tbk.,"Trade, Service, and Investment"
14-Aug-90,EKAD,202,Ekadharma International Tbk,Basic Industry and Chemicals
6-Feb-08,ELSA,203,Elnusa Tbk,Mining
30-Oct-95,ELTY,204,Bakrieland Development Tbk,"Property, Real Estate, and Building Construction"
12-Jan-11,EMDE,205,Megapolitan Developments Tbk,"Property, Real Estate, and Building Construction"
12-Jan-10,EMTK,206,Elang Mahkota Teknologi Tbk,"Trade, Service, and Investment"
7-Jun-04,ENRG,207,Energi Mega Persada Tbk,Mining
8-Jul-19,ENVY,208,PT Envy Technologies Indonesia Tbk,"Trade, Service, and Investment"
1-Aug-94,EPMT,209,Enseval Putra Megatrading Tbk,"Trade, Service, and Investment"
14-Dec-11,ERAA,210,Erajaya Swasembada Tbk,"Trade, Service, and Investment"
21-Aug-90,ERTX,211,Eratex Djaja Tbk,Miscellaneous Industry
14-Nov-19,ESIP,212,PT Sinergi Inti Plastindo Tbk.,Basic Industry and Chemicals
